co,no2,o3,pm10,pm25,predicted aqi,City,Date
3.0,9.3,7.3,20.0,67.0,169.74157686195417,Fresno,2020-12-31
2.0,3.7,9.8,10.0,28.0,86.55686962309767,Hartford,2020-12-31
4.9,7.6465755863285905,21.6,15.0,17.0,62.04937738975434,Honolulu,2020-12-31
1.2,4.5,16.8,18.47656723982837,20.0,68.36866462934677,Houston,2020-12-31
3.8,5.6,20.8,14.0,55.0,144.49784220470906,Indianapolis,2020-12-31
0.9,3.7,20.8,17.0,33.0,96.67816943077685,Jackson,2020-12-31
4.6,3.3,13.5,21.0,34.0,98.4746648606631,Jacksonville,2020-12-31
0.1,8.7,10.2,14.0,20.0,68.56047465708878,Las Vegas,2020-12-31
2.8652169542887327,7.6465755863285905,16.0,18.47656723982837,15.0,57.350787354106274,Little Rock,2020-12-31
4.2,26.9,22.4,20.0,57.0,147.1258571717682,Los Angeles,2020-12-31
2.8652169542887327,7.6465755863285905,29.0680751173709,14.0,56.0,146.51527749482818,Madison,2020-12-31
2.7,13.9,13.6,18.47656723982837,42.0,115.45947673120736,Manhattan,2020-12-31
2.8652169542887327,7.6465755863285905,19.2,18.47656723982837,13.0,52.99387093138262,Memphis,2020-12-31
1.3,7.6465755863285905,14.7,4.0,18.0,65.20315499895435,Miami,2020-12-31
3.0,10.2,20.1,19.0,59.0,152.37673020135162,Milwaukee,2020-12-31
2.8652169542887327,7.6465755863285905,22.92798507462688,18.47656723982837,28.0,85.4435893240418,Nashville,2020-12-31
4.5,11.2,16.8,18.47656723982837,25.0,78.76275727353345,Oakland,2020-12-31
3.4,4.7,20.0,8.0,22.0,73.59987651741551,Oklahoma City,2020-12-31
2.9,7.6465755863285905,9.6,12.0,50.0,133.67579051601012,Omaha,2020-12-31
1.2,5.6,19.2,18.47656723982837,33.0,96.3486599282071,Philadelphia,2020-12-31
4.7,15.1,6.4,20.0,33.0,95.71308510915014,Phoenix,2020-12-31
0.1,4.7,0.1,18.47656723982837,13.0,53.09652337511511,Portland,2020-12-31
2.6,8.4,23.3,18.47656723982837,21.0,70.20632548421963,Providence,2020-12-31
2.8,14.6,16.0,18.47656723982837,38.0,106.68554862306326,Queens,2020-12-31
4.6,12.1,5.6,11.0,38.0,107.52873221597974,Raleigh,2020-12-31
0.1,2.4,9.8,18.47656723982837,31.0,92.14912432956419,Richmond,2020-12-31
2.8652169542887327,3.8,0.1,15.0,42.0,116.21968146514837,Sacramento,2020-12-31
2.0,8.4,19.2,9.0,34.0,99.22695222814662,Saint Paul,2020-12-31
2.8652169542887327,7.6465755863285905,19.80643274853802,18.47656723982837,11.0,48.56017109830884,Salem,2020-12-31
3.0,17.6,15.2,20.96808510638298,59.0,151.71318066500066,Salt Lake City,2020-12-31
2.8652169542887327,2.3,17.6,18.47656723982837,10.0,46.6576157979041,San Antonio,2020-12-31
6.7,15.8,8.8,18.47656723982837,53.0,139.04446332874818,San Diego,2020-12-31
4.4,6.5,23.3,18.47656723982837,25.0,78.89685629137341,San Francisco,2020-12-31
4.5,12.1,18.4,18.47656723982837,30.0,89.42905175320175,San Jose,2020-12-31
2.3,9.3,22.4,18.47656723982837,13.0,52.76492828859841,Seattle,2020-12-31
2.8652169542887327,7.6465755863285905,24.821285140562267,18.47656723982837,42.0,115.61895870097771,Springfield,2020-12-31
3.4,12.1,14.5,18.47656723982837,38.0,106.72968107370002,Staten Island,2020-12-31
1.4740740740740745,7.6465755863285905,10.6,15.283582089552239,35.0,100.76647355007776,Tallahassee,2020-12-31
2.6,11.320197044334977,16.0,18.47656723982837,46.0,124.07417724662344,The Bronx,2020-12-31
3.1,9.9,17.5,17.0,25.0,78.82200159969352,Tucson,2020-12-31
1.5,3.7,12.2,18.47656723982837,28.0,85.4890654523524,Washington D.C.,2020-12-31
2.0,6.5,18.4,16.0,32.0,93.93679650492493,Albuquerque,2021-01-01
1.8,1.3,14.5,13.0,28.0,85.82782583231722,Atlanta,2021-01-01
2.8652169542887327,2.5,24.8,18.47656723982837,17.0,61.41696649171297,Austin,2021-01-01
2.8652169542887327,12.1,7.3,10.0,50.0,133.17579139636587,Baltimore,2021-01-01
2.9,4.7,21.6,15.0,25.0,78.94409516977112,Boise,2021-01-01
3.2,8.4,16.8,18.47656723982837,34.0,97.8988362109701,Boston,2021-01-01
2.4,10.695483870967745,17.6,18.47656723982837,39.0,108.59827573582413,Brooklyn,2021-01-01
2.224517906336088,5.8951754385964925,10.4,4.0,17.0,62.606641951725464,Charlotte,2021-01-01
2.7,6.5,21.6,21.0,55.0,143.19190796737746,Chicago,2021-01-01
2.3,8.4,27.718775510204093,18.47656723982837,37.0,104.36243290563789,Columbus,2021-01-01
1.2,2.8,19.2,2.0,20.0,69.42842256101028,Dallas,2021-01-01
5.1,16.0,7.0,19.0,50.0,132.05918287348516,Denver,2021-01-01
4.5,5.6,16.8,6.0,41.0,114.34683341121513,Detroit,2021-01-01
4.5,14.9,12.8,32.0,38.0,104.8758241648062,El Paso,2021-01-01
2.8652169542887327,1.5,20.0,18.47656723982837,17.0,61.39247270173314,Fort Worth,2021-01-01
4.0,9.3,7.3,33.0,99.0,237.1051814727182,Fresno,2021-01-01
3.3,6.9,6.1,12.0,33.0,96.36598541193587,Hartford,2021-01-01
5.0,7.6465755863285905,21.6,11.0,13.0,53.114716110287645,Honolulu,2021-01-01
2.3,2.5,22.4,18.47656723982837,16.0,59.14963536223138,Houston,2021-01-01
3.8,5.6,14.5,12.0,45.0,122.38580426501233,Indianapolis,2021-01-01
0.9,2.3,24.8,10.0,18.0,64.28941361459545,Jackson,2021-01-01
5.5,2.3,11.4,18.0,38.0,106.81372847472471,Jacksonville,2021-01-01
0.1,2.7,13.9,8.0,9.0,44.970670450357034,Las Vegas,2021-01-01
2.8652169542887327,7.6465755863285905,10.4,18.47656723982837,19.0,65.35267766761592,Little Rock,2021-01-01
6.7,23.2,3.2,27.0,78.0,191.45113271075195,Los Angeles,2021-01-01
2.8652169542887327,7.6465755863285905,29.0680751173709,25.0,78.0,192.42400640116864,Madison,2021-01-01
3.1,13.0,12.8,18.47656723982837,40.0,110.51675951954678,Manhattan,2021-01-01
2.8652169542887327,7.6465755863285905,16.0,18.47656723982837,18.0,63.159387873835044,Memphis,2021-01-01
1.1,7.6465755863285905,12.6,12.626780626780628,22.0,72.37559649333673,Miami,2021-01-01
2.7,6.5,20.0,18.0,65.0,164.99138792213603,Milwaukee,2021-01-01
2.8652169542887327,7.6465755863285905,22.92798507462688,18.47656723982837,18.0,63.13671456773113,Nashville,2021-01-01
6.1,12.1,6.4,18.47656723982837,55.0,143.0028969263742,Oakland,2021-01-01
3.4,2.8,22.4,8.0,24.0,77.36606465381624,Oklahoma City,2021-01-01
2.7,7.6465755863285905,12.8,15.0,55.0,143.55054435279862,Omaha,2021-01-01
2.3,12.1,14.5,18.47656723982837,45.0,121.33415572712681,Philadelphia,2021-01-01
12.3,14.2,5.7,59.0,143.0,329.4736289246057,Phoenix,2021-01-01
0.1,5.6,0.1,18.47656723982837,13.0,52.390781372363335,Portland,2021-01-01
5.0,14.9,18.4,18.47656723982837,34.0,97.35604190563822,Providence,2021-01-01
2.7,14.7,16.8,18.47656723982837,38.0,106.02050705499244,Queens,2021-01-01
2.3,2.8,13.6,6.0,13.0,53.705061208824986,Raleigh,2021-01-01
0.1,1.4,9.0,18.47656723982837,43.0,117.51791397581951,Richmond,2021-01-01
2.8652169542887327,4.7,0.1,27.0,68.0,170.6452013467324,Sacramento,2021-01-01
2.5,9.3,17.6,12.0,53.0,139.36363199940047,Saint Paul,2021-01-01
